005,0,8000,54,0.907597541809082,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,57,0.95772385597229,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,49,0.927647590637207,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,8000,66,0.44542717933654785,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,57,0.4627978801727295,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,8000,60,0.48090600967407227,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,8000,64,0.4760758876800537,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,64,0.49230265617370605,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,50,0.5019357204437256,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,8000,56,0.9746143817901611,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,50,0.5257387161254883,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,59,0.5265803337097168,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,66,1.026820182800293,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,8000,66,0.6480269432067871,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,61,0.4996774196624756,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,67,0.5247256755828857,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,8000,68,1.1103885173797607,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,56,1.134831428527832,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,46,1.1237118244171143,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,8000,67,0.5478732585906982,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,8000,50,0.6291627883911133,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,8000,50,0.65655517578125,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,53,0.6461138725280762,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,73,0.6284189224243164,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,50,0.6234676837921143,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,54,0.4673783779144287,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,53,0.48099780082702637,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,8000,48,0.4776010513305664,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,66,0.4483296871185303,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,59,0.939786434173584,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,57,0.4884307384490967,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,50,0.48133182525634766,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,8000,64,0.4737839698791504,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,50,0.48334336280822754,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,52,0.4586751461029053,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,1.0916504859924316,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,8000,58,0.5221922397613525,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,50,0.5870094299316406,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,66,1.041349172592163,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,66,1.0145728588104248,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,68,0.5304479598999023,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,8000,68,0.5433473587036133,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,2,8000,56,0.5532739162445068,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,47,1.2033493518829346,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,8000,44,0.5645391941070557,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,8000,56,0.8051562309265137,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,50,0.6588568687438965,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,53,1.3163659572601318,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,64,0.6488134860992432,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,8000,74,0.6149215698242188,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,57,0.4713873863220215,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,8000,57,0.9895520210266113,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,50,0.46473050117492676,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,8000,50,0.9433672428131104,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,8000,65,0.4684154987335205,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,0,8000,60,1.0144388675689697,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,8000,64,1.0190613269805908,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,64,0.9959936141967773,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,50,0.804288387298584,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,55,0.9798440933227539,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,52,0.5301618576049805,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,58,0.5273663997650146,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,60,0.5107004642486572,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,50,0.5122635364532471,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,50,0.5026121139526367,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,50,0.526343584060669,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,56,0.5490884780883789,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,56,1.1284003257751465,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
