5,0,8000,56,48.33094001,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
5,1,8000,60,52.93881321,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'},
5,2,8000,54,44.83819389,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'adam'},
5,3,8000,70,35.11239481,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'}
5,4,8000,53,51.96354985,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'}
10,0,8000,68,49.87765193,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
10,1,8000,64,42.39872265,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'},
10,2,8000,63,44.35638428,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'}
10,3,8000,61,42.18733931,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
10,4,8000,62,37.46121669,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
15,0,8000,63,52.36490703,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'adam'},
15,1,8000,63,54.85467768,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'}
15,2,8000,60,48.52893591,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
15,3,8000,65,46.46407914,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'adam'},
15,4,8000,66,46.88938427,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
20,0,8000,72,47.82054734,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
20,1,8000,70,55.00608134,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'}
20,2,8000,57,57.54173756,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'adam'},
20,3,8000,68,51.34395361,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'},
20,4,8000,68,49.67932272,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'}
30,0,8000,67,58.0012455,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'},
30,1,8000,68,72.60451937,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'}
30,2,8000,73,68.33793092,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
30,3,8000,70,61.18305063,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
30,4,8000,72,57.7497251,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
5,0,8000,56,48.30654311,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
5,1,8000,60,54.3099196,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
