005,0,8000,64,0.5107269287109375,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,8000,66,0.4712238311767578,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,61,1.1478490829467773,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,8000,58,0.39713621139526367,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,8000,63,0.3297398090362549,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,60,0.9116647243499756,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,59,0.5075349807739258,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,8000,64,0.41080760955810547,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,8000,68,0.3555607795715332,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,8000,55,0.7152729034423828,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,60,0.9178774356842041,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,64,0.5314724445343018,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,8000,68,1.0316143035888672,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,8000,66,0.6251430511474609,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,8000,68,0.40290355682373047,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,8000,68,0.3877549171447754,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,64,0.48522329330444336,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,1,8000,67,0.4826474189758301,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,68,0.4925558567047119,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,3,8000,69,1.0875394344329834,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,64,0.42539000511169434,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,8000,70,0.5283398628234863,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,8000,66,0.8987939357757568,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,8000,70,0.578432559967041,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,68,0.7229115962982178,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,8000,68,0.6555800437927246,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,70,1.0706417560577393,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,61,1.394718885421753,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,68,1.2391479015350342,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,8000,70,1.296628475189209,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,8000,68,1.0330300331115723,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,8000,66,2.013911724090576,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,1,8000,68,1.8953874111175537,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
