005,0,8000,65,1.323925256729126,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,8000,63,2.0200905799865723,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,8000,63,0.38167500495910645,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,8000,67,0.6694879531860352,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,60,0.887021541595459,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,8000,57,1.44606614112854,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,8000,62,0.40209245681762695,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,8000,62,0.7022786140441895,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
010,3,8000,53,1.2240910530090332,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,58,1.4925169944763184,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,8000,66,0.5122861862182617,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,8000,62,1.3295183181762695,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,8000,66,0.9726042747497559,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,8000,67,1.1115188598632812,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,8000,62,0.8093042373657227,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,63,1.1259455680847168,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,1,8000,66,1.0025053024291992,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,67,1.0986974239349365,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,64,0.8841960430145264,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,8000,65,0.6202690601348877,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,8000,65,1.381174087524414,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,8000,64,2.7538740634918213,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,8000,68,2.027843475341797,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,8000,62,1.7518010139465332,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,8000,66,0.5239894390106201,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,61,1.1050710678100586,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,8000,63,3.09519362449646,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
