005,0,0,50,0.5686154365539551,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,54,0.5578770637512207,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,47,0.5504150390625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,59,0.3928675651550293,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,54,0.5763640403747559,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,72,0.6930904388427734,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,56,0.5829761028289795,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,0.6095232963562012,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,51,0.5955507755279541,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,47,0.5998070240020752,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,49,0.6179237365722656,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,57,0.6066813468933105,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,58,0.6229803562164307,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,0.601449728012085,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,58,0.6060874462127686,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,50,0.6533737182617188,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,48,0.6522600650787354,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,49,0.6461997032165527,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,62,0.6408686637878418,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,50,0.6605417728424072,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,50,0.73419189453125,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,60,0.7320783138275146,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,70,0.7271120548248291,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,50,0.7352151870727539,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,58,0.6478228569030762,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,65,1.1125257015228271,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,42,1.0886023044586182,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,50,0.5427162647247314,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,64,0.5447337627410889,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
