005,0,0,65,0.7364006042480469,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,65,0.7425785064697266,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,2,0,45,0.7091493606567383,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,51,0.6600711345672607,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,49,0.694875955581665,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,64,0.7618401050567627,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,61,0.628173828125,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,58,0.6933865547180176,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,0.585167407989502,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,63,0.6885454654693604,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,66,0.7652409076690674,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,55,0.7784247398376465,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,68,0.6828510761260986,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,66,0.6978168487548828,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,62,0.7096021175384521,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,62,0.7498576641082764,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,63,0.8584427833557129,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.749004602432251,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,64,0.6871559619903564,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,63,0.8207666873931885,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.7012877464294434,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,1,0,66,1.8315856456756592,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,57,1.3696389198303223,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,68,1.2040293216705322,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,66,1.0065109729766846,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,63,1.555187463760376,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,60,1.5891821384429932,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,0,66,1.9886293411254883,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,66,0.8560142517089844,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,63,0.9974172115325928,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,68,2.6843318939208984,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
